artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
Nico & Vinz,That's How You Know (feat. Kid Ink & Bebe Rexha),186443,That's How You Know (feat. Kid Ink & Bebe Rexha),afrobeats,61.0,524089.0,single,2015-07-17,0.769,0.437,1,-6.406,1,0.0363,0.44,0.0,0.116,0.737,103.921,4
Astrid S,Breathe,211758,Party's Over,"alt z, norwegian pop, pop, uk pop",62.0,1349884.0,single,2017-06-30,0.737,0.734,1,-5.794,1,0.0562,0.0351,0.000108,0.168,0.518,96.987,4
Tungevaag & Raaban,Samsara,211884,Samsara,"deep pop edm, nordic house",54.0,406990.0,single,2015-01-21,0.489,0.641,11,-7.011,0,0.032,0.00598,0.0201,0.122,0.587,108.901,4
John Legend,Love Me Now - Dave Audé Remix Radio Edit,219106,Love Me Now (Remixes),"neo soul, pop, pop soul, urban contemporary",73.0,6813689.0,single,2016-12-01,0.595,0.841,8,-4.24,1,0.0796,0.0322,0.0,0.0847,0.761,124.973,4
Blake,99 Peons,177345,99 Peons,san antonio rap,28.0,56310.0,single,2017-06-22,0.904,0.753,7,-4.584,1,0.232,0.00188,0.0,0.108,0.646,117.591,4
Moosh & Twist,All of a Sudden,196883,Wings,indie pop rap,32.0,65486.0,album,2017-08-11,0.815,0.708,6,-5.581,0,0.217,0.032,0.0,0.179,0.588,140.012,4
Ciara,Dance Like We're Making Love,256600,Jackie,"dance pop, hip pop, pop, r&b, urban contemporary",69.0,6579254.0,album,2015-05-04,0.721,0.541,7,-8.623,0,0.0659,0.063,4.47e-06,0.165,0.263,96.046,4
Jay Park,Sex Trip,226278,몸매 Mommae,"k-pop, k-rap, korean r&b",65.0,2084459.0,single,2015-05-22,0.788,0.578,7,-5.743,1,0.0522,0.369,0.0,0.109,0.571,119.951,4
D'african,I Fucking Lust You,164333,High Love You,trap soul,34.0,15583.0,album,2016-05-22,0.508,0.356,11,-10.509,0,0.141,0.548,0.00858,0.108,0.382,169.706,3
DJ Drama,"Wishing (feat. Chris Brown, Skeme & Lyquin)",252306,Quality Street Music 2,"dirty south rap, philly rap, southern hip hop, trap",61.0,1422969.0,album,2016-07-22,0.477,0.647,3,-4.657,0,0.343,0.0872,0.0,0.119,0.549,109.879,4
Yung Lean,Immortal,147546,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.707,0.293,8,-10.769,1,0.0361,0.0335,0.000549,0.147,0.0966,123.997,4
Yung Lean,Highway Patrol,212582,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.606,0.71,9,-4.052,1,0.0444,0.00117,0.0,0.0862,0.0825,114.927,4
Yung Lean,Fantasy,188805,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.787,0.614,11,-6.907,0,0.0769,0.778,0.0,0.0633,0.236,116.001,4
Yung Lean,Afghanistan,167377,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.729,0.553,1,-7.677,1,0.114,0.287,5.93e-05,0.137,0.103,130.085,4
Yung Lean,Hoover,160879,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.399,0.849,10,-5.813,1,0.562,0.118,0.0,0.352,0.123,181.839,4
Yung Lean,Fire,188205,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.504,0.487,7,-10.306,1,0.0314,0.169,0.00604,0.103,0.177,104.981,4
Yung Lean,Stay Down,192737,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.509,0.572,7,-8.965,1,0.0495,0.408,1.83e-06,0.113,0.149,132.921,4
Yung Lean,Eye Contact,221396,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.412,0.499,0,-10.776,1,0.0507,0.44,0.191,0.102,0.131,89.895,4
Yung Lean,More Stacks,203136,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.62,0.654,9,-8.958,1,0.0541,0.0209,0.000158,0.197,0.161,124.885,4
Yung Lean,Af1s,220751,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.735,0.648,0,-7.21,1,0.0454,0.0281,0.0,0.308,0.179,134.975,4
Yung Lean,Hocus Pocus,211058,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.649,0.818,4,-6.786,0,0.0354,0.0924,0.0,0.671,0.208,109.966,4
Yung Lean,Shawty U Know What It Do,130868,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.428,0.399,0,-9.936,0,0.0692,0.398,1.32e-06,0.0758,0.339,60.329,4
Yung Lean,Miami Ultras,263719,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.577,0.518,1,-9.881,0,0.0337,0.00344,0.0012,0.173,0.0385,105.029,4
Yung Lean,Sippin - Bonus Track,249520,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.625,0.776,9,-5.846,1,0.0446,0.23,0.0,0.0775,0.367,120.911,4
Yung Lean,God Only Knows - Bonus Track,213720,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.584,0.916,0,-4.267,1,0.103,0.229,0.0,0.35,0.559,129.891,4
Yung Lean,How U Like Me Now? - Bonus Track,240000,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.491,0.729,4,-4.899,1,0.139,0.157,0.0,0.279,0.426,132.047,4
Yung Lean,Pearl Fountain - Bonus Track,193701,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.516,0.652,6,-5.886,0,0.0336,0.00813,1.05e-06,0.103,0.21,134.962,4
Yung Lean,Stars Align - Bonus Track,259562,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.448,0.599,1,-8.935,0,0.0547,0.218,3.88e-05,0.36,0.14,119.536,4
