artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
3OH!3,STARSTRUKK (feat. Katy Perry),70294,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.343,0.975,1,-2.502,0,0.135,3.23e-05,0.991,0.0515,0.133,119.883,4
Daniel Tidwell,Pokémon Theme,65306,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.414,0.959,7,-4.299,0,0.0378,2.31e-05,0.933,0.368,0.589,145.911,4
Daniel Tidwell,Concerning Hobbits (The Lord of the Rings),108532,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.522,0.205,2,-7.986,1,0.0376,0.0534,0.235,0.0985,0.353,103.868,4
Daniel Tidwell,The Blood of Cuchulainn (The Boondock Saints),214268,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.0849,0.956,2,-4.196,1,0.0805,5.24e-05,0.953,0.397,0.309,185.397,3
Daniel Tidwell,He's a Pirate (Pirates of the Caribbean),110219,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.283,0.925,3,-4.7,1,0.111,0.000748,0.933,0.166,0.368,99.45,4
Kaleptik,U.N. Owen Was Her? (Remix),226000,"Video Game Remixes, Vol. 1",scorecore,24.0,8020.0,single,2015-01-01,0.493,0.969,2,-3.282,0,0.0463,0.201,0.655,0.247,0.34,170.581,4
Leslie Odom Jr.,The Room Where It Happens,318214,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.638,0.49,4,-9.382,0,0.426,0.271,0.0,0.664,0.511,173.552,4
Christopher Jackson,Right Hand Man,321696,Hamilton,show tunes,64.0,52548.0,album,2015-09-25,0.68,0.413,8,-9.41,1,0.492,0.177,0.0,0.205,0.383,158.576,4
Leslie Odom Jr.,Alexander Hamilton,236737,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,4
Lin-Manuel Miranda,My Shot,333154,Hamilton,"broadway, show tunes",71.0,659157.0,album,2015-09-25,0.698,0.649,8,-6.764,1,0.415,0.15,0.0,0.0903,0.568,180.466,4
Hoody,Like You,212715,On And On,korean r&b,50.0,385166.0,single,2016-12-16,0.622,0.537,0,-4.435,1,0.0335,0.261,0.0,0.0781,0.25,60.018,4
Loco,GOOD (feat. ELO),180006,GOOD (feat. ELO),"k-pop, k-rap, korean r&b",58.0,446959.0,single,2016-06-15,0.818,0.599,7,-2.976,0,0.04,0.285,0.0,0.0845,0.874,96.959,4
Park Kyung,Inferiority Complex (feat. Eunha),204376,Inferiority Complex (feat. Eunha),korean pop,34.0,65505.0,single,2016-05-25,0.761,0.796,9,-4.277,1,0.298,0.309,0.0,0.136,0.892,102.249,4
Park Kyung,Ordinary Love,232866,Ordinary Love (Feat.Park Boram),korean pop,34.0,65505.0,single,2015-09-21,0.739,0.706,9,-6.534,1,0.152,0.219,0.0,0.132,0.559,144.111,4
BTS,Spring Day,274097,You Never Walk Alone,"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2017-02-13,0.539,0.846,8,-3.192,1,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,4
Lovelyz,Ah-Choo,218474,Lovelyz8,"k-pop, k-pop girl group",40.0,435445.0,album,2015-10-01,0.729,0.898,5,-1.029,1,0.0391,0.315,0.0,0.107,0.517,126.977,4
LEE HI,BREATHE,288992,SEOULITE,k-pop,64.0,1747746.0,single,2016-03-09,0.609,0.246,8,-8.449,1,0.0376,0.784,0.0,0.0825,0.371,123.773,4
LEE HI,FXXK WIT US,217861,SEOULITE,k-pop,64.0,1747746.0,single,2016-03-09,0.763,0.658,5,-5.643,0,0.147,0.0258,0.0,0.0915,0.389,80.038,4
Miso,Take Me,257647,Take Me,k-pop,12.0,34698.0,single,2016-12-08,0.756,0.426,1,-8.75,0,0.0745,0.504,0.0394,0.0884,0.355,135.96,4
Zion.T,꺼내 먹어요 (Eat),161624,꺼내 먹어요 (Eat) - Single,"k-pop, k-rap, korean r&b",54.0,611157.0,single,2015-05-19,0.628,0.284,4,-11.629,1,0.102,0.544,5.01e-06,0.121,0.354,91.131,4
Zion.T,No Make Up,189154,No Make Up - Single,"k-pop, k-rap, korean r&b",54.0,611157.0,single,2015-10-12,0.758,0.402,9,-5.066,1,0.0459,0.411,0.0,0.217,0.519,92.109,4
KARD,Oh NaNa (Hidden. HUR YOUNG JI),206772,"K.A.R.D Project Vol.1 ""Oh NaNa""",k-pop,54.0,1958091.0,single,2016-12-13,0.756,0.922,1,-2.683,1,0.0539,0.0615,0.000462,0.0723,0.809,100.005,4
KARD,Don't Recall,208666,"K.A.R.D Project Vol.2 ""Don't Recall""",k-pop,54.0,1958091.0,single,2017-02-16,0.694,0.748,10,-2.93,0,0.167,0.0222,0.0,0.155,0.521,92.918,4
Jay Park,Me Like Yuh,223641,Everything You Wanted,"k-pop, k-rap, korean r&b",65.0,2084459.0,album,2016-10-20,0.715,0.831,2,-6.161,1,0.0729,0.223,3.84e-06,0.132,0.805,100.006,4
Jay Park,사실은 The Truth Is,236919,Everything You Wanted,"k-pop, k-rap, korean r&b",65.0,2084459.0,album,2016-10-20,0.536,0.707,10,-7.086,0,0.1,0.158,0.0,0.211,0.684,77.074,4
Jay Park,Solo (feat. Hoody),219488,Everything You Wanted,"k-pop, k-rap, korean r&b",65.0,2084459.0,album,2016-10-20,0.662,0.716,4,-4.942,1,0.118,0.12,0.0,0.396,0.727,102.1,4
Zico,Boys and Girls (feat. Babylon),200169,Boys And Girls,"k-pop, korean r&b",69.0,1503247.0,single,2015-11-03,0.817,0.747,1,-3.047,1,0.0625,0.043,0.0,0.0601,0.618,103.026,4
Ailee,I will go to you like the first snow,229678,Guardian (Original Television Soundtrack) Part 9,k-pop,57.0,1139445.0,single,2017-01-07,0.497,0.431,5,-4.755,0,0.0287,0.66,0.0,0.153,0.167,133.675,4
Jay Park,Aquaman,252367,Everything You Wanted,"k-pop, k-rap, korean r&b",65.0,2084459.0,album,2016-10-20,0.699,0.87,10,-5.216,1,0.232,0.0856,0.0,0.0507,0.729,96.945,4
BLACKPINK,WHISTLE - KR Ver.,212600,SQUARE ONE,"k-pop, k-pop girl group, pop",79.0,49477820.0,single,2017-07-20,0.827,0.722,6,-4.804,0,0.0945,0.00579,0.0,0.0935,0.589,102.972,4
CNBLUE,You're So Fine,232858,BLUEMING,"k-pop, k-pop boy group",49.0,706009.0,single,2016-04-04,0.737,0.818,8,-2.892,1,0.0492,0.0936,0.0,0.0577,0.893,116.93,4
Jay Park,Drive (feat. Gray),212334,Everything You Wanted,"k-pop, k-rap, korean r&b",65.0,2084459.0,album,2016-10-20,0.651,0.749,5,-3.707,0,0.0412,0.188,0.0,0.0723,0.93,150.019,4
Apink,Mr. Chu,214750,Pink LUV + Blossom,"k-pop, k-pop girl group",51.0,1221378.0,album,2015-10-02,0.769,0.837,2,-3.499,1,0.0631,0.359,0.0,0.238,0.584,120.005,4
Suzy,Dream,222415,Dream,k-pop,50.0,476079.0,single,2016-01-07,0.718,0.476,4,-9.205,1,0.139,0.422,0.0,0.0876,0.448,48.973,4
BAEKHYUN,두근거려 (Beautiful),224240,우리 옆집에 EXO가 산다 (EXO NEXT DOOR) OST,k-pop,62.0,2689905.0,single,2015-04-22,0.547,0.642,9,-4.411,1,0.0348,0.505,9.88e-06,0.18,0.404,78.907,4
Suzy,Ring My Bell,205683,Uncontrollably Fond OST Part.1,k-pop,50.0,476079.0,single,2016-07-01,0.531,0.478,8,-6.853,0,0.0528,0.753,0.0,0.103,0.408,143.81,4
V,It's Definitely You,230693,"HWARANG, Pt. 2 (Music from the Original TV Series)","j-division, korean ost",81.0,18301284.0,single,2016-12-20,0.737,0.731,10,-3.193,0,0.0706,0.241,0.0,0.087,0.761,94.999,4
BIGBANG,LAST DANCE,279719,MADE,"k-pop, k-pop boy group",64.0,4881293.0,album,2016-12-13,0.621,0.673,1,-3.194,0,0.0606,0.467,0.0,0.323,0.289,143.889,4
BIGBANG,FXXK IT,231810,MADE,"k-pop, k-pop boy group",64.0,4881293.0,album,2016-12-13,0.72,0.746,0,-3.143,0,0.107,0.152,0.0,0.276,0.587,90.026,4
Hoody,Your Eyes (feat. Jay Park),204541,On And On,korean r&b,50.0,385166.0,single,2016-12-16,0.397,0.686,6,-4.425,0,0.0311,0.37,1.73e-06,0.115,0.486,80.038,4
BLACKPINK,As If It's Your Last,213264,As If It's Your Last,"k-pop, k-pop girl group, pop",79.0,49477820.0,single,2017-06-22,0.786,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.034,4
G-DRAGON,"Untitled, 2014 - KR Ver.",222867,KWON JI YONG,"k-pop, k-rap",57.0,2848033.0,single,2017-06-09,0.389,0.467,4,-5.126,1,0.0347,0.787,1.39e-05,0.129,0.25,77.943,4
G-DRAGON,OUTRO: Divina Commedia - KR Ver.,224399,KWON JI YONG,"k-pop, k-rap",57.0,2848033.0,single,2017-06-09,0.69,0.6,8,-4.336,0,0.137,0.656,0.0,0.631,0.236,131.821,4
BLACKPINK,STAY - KR Ver.,231306,SQUARE TWO,"k-pop, k-pop girl group, pop",79.0,49477820.0,single,2017-07-20,0.629,0.421,1,-6.746,1,0.0364,0.542,3.56e-06,0.117,0.353,87.939,4
BTS,21st Century Girl,192596,Wings,"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2016-10-10,0.716,0.906,2,-3.539,1,0.0717,0.00423,0.0,0.0547,0.762,101.028,4
EXO,전야 前夜 The Eve,176026,THE WAR - The 4th Album,"k-pop, k-pop boy group",68.0,9426849.0,album,2017-07-18,0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104,4
KARD,Hola Hola,202962,KARD 1st Mini Album 'Hola Hola',k-pop,54.0,1958091.0,single,2017-07-19,0.843,0.807,1,-3.794,0,0.0632,0.0135,6.44e-05,0.227,0.833,104.962,4
Hyuna,Roll Deep,202536,A+,k-pop,51.0,2285141.0,single,2015-08-21,0.851,0.842,4,-3.17,0,0.214,0.00474,0.000768,0.314,0.728,102.566,4
AKDONG MUSICIAN,DINOSAUR,240571,SUMMER EPISODE,k-pop,61.0,1672459.0,single,2017-07-20,0.767,0.755,11,-3.938,0,0.03,0.303,3.62e-05,0.105,0.631,120.978,4
EXO,Ko Ko Bop,190422,THE WAR - The 4th Album,"k-pop, k-pop boy group",68.0,9426849.0,album,2017-07-18,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,4
Jung Yong Hwa,That Girl (Feat. Loco),208284,JUNG YONG HWA 1ST MINI ALBUM DO DISTURB,korean pop,43.0,218439.0,single,2017-07-19,0.814,0.683,8,-2.596,0,0.195,0.0943,0.0,0.0678,0.757,140.051,4
Jay Park,Yacht (K) [feat. Sik-K],246284,Yacht (K) [feat. Sik-K],"k-pop, k-rap, korean r&b",65.0,2084459.0,single,2017-07-17,0.726,0.772,10,-4.373,0,0.113,0.451,0.0,0.195,0.778,80.017,4
BTS,Hold Me Tight,274991,The Most Beautiful Moment in Life Pt.1,"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2015-04-29,0.631,0.728,6,-5.111,1,0.284,0.0511,0.0,0.171,0.395,139.977,4
Jenyer,Cliché,267583,Cliché,,11.0,19809.0,single,2017-03-29,0.593,0.431,9,-7.846,0,0.415,0.327,0.0,0.21,0.641,169.781,4
EXO,What U do?,221349,THE WAR - The 4th Album,"k-pop, k-pop boy group",68.0,9426849.0,album,2017-07-18,0.526,0.828,6,-3.82,1,0.143,0.00773,0.0,0.296,0.663,110.182,4
YEZI,Anck Su Namum,195422,Anck Su Namum,k-pop,26.0,134119.0,single,2017-05-24,0.72,0.918,1,-2.602,0,0.0991,0.0497,1.68e-06,0.144,0.551,139.998,4
JIMIN (AOA),Call You Bae,216998,Call You Bae,k-pop,23.0,285059.0,single,2016-03-03,0.533,0.823,6,-4.109,1,0.252,0.0516,0.0,0.473,0.706,89.711,4
BTS,Intro: Serendipity,139971,Love Yourself 承 'Her',"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2017-09-18,0.476,0.581,8,-8.795,1,0.12,0.523,0.0,0.201,0.282,129.568,4
BTS,DNA,223122,Love Yourself 承 'Her',"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2017-09-18,0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,4
BTS,dimple,196776,Love Yourself 承 'Her',"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2017-09-18,0.612,0.844,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,4
BTS,MIC Drop,238193,Love Yourself 承 'Her',"k-pop, k-pop boy group, pop",85.0,73822218.0,album,2017-09-18,0.667,0.889,6,-4.851,1,0.0918,0.00912,0.0,0.0816,0.541,169.959,4
Camille Saint-Saëns,"Piano concerto No. 2 in G Minor, Op. 22: Piano concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando",352160,"Grieg, Saint-Saëns: Piano Concertos","classical, french romanticism, late romantic era",63.0,387064.0,album,2015-08-14,0.33,0.0682,3,-29.917,1,0.0378,0.988,0.916,0.0893,0.329,91.942,4
No Vacation,Dræm Girl,234606,Summer Break Mixtape,"chill dream pop, indie garage rock, indie pop, indie surf",54.0,461130.0,single,2015-07-15,0.192,0.952,2,-5.888,1,0.258,0.00164,0.716,0.307,0.262,172.752,4
No Vacation,Sad Valentine,220317,Summer Break Mixtape,"chill dream pop, indie garage rock, indie pop, indie surf",54.0,461130.0,single,2015-07-15,0.296,0.913,2,-6.144,1,0.068,0.0226,0.255,0.0583,0.183,171.314,4
Banes World,You Say I'm in Love,176760,You Say I'm in Love,bedroom pop,45.0,258785.0,single,2017-01-26,0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02,4
Banes World,Drowsy,164027,Drowsy,bedroom pop,45.0,258785.0,album,2016-06-04,0.594,0.185,8,-16.243,0,0.0319,0.957,0.00287,0.118,0.415,127.085,3
PWR BTTM,Serving Goffman,139482,Ugly Cherries,queercore,29.0,44924.0,album,2015-09-18,0.496,0.84,2,-5.718,1,0.205,0.353,0.0,0.319,0.415,140.39,4
Natureboy,Fortune Only,260175,Only No One,,0.0,817.0,album,2016-08-23,0.361,0.392,11,-11.679,1,0.0312,0.774,0.145,0.107,0.238,130.662,3
Joy Again,Looking out for You,179499,Looking out for You,pov: indie,62.0,311150.0,single,2015-11-06,0.682,0.9,9,-5.028,1,0.0873,0.0891,0.063,0.0685,0.937,100.721,4
Joy Again,Necromancer,153573,Joy Again - EP,pov: indie,62.0,311150.0,single,2017-01-17,0.593,0.154,4,-12.668,1,0.0471,0.979,2.48e-05,0.116,0.115,118.151,4
Joy Again,Mistakes,118975,Joy Again - EP,pov: indie,62.0,311150.0,single,2017-01-17,0.702,0.361,6,-9.078,1,0.0303,0.00344,0.838,0.29,0.367,106.137,4
Part Time,Strangest Eyes,233063,Virgo's Maze,"hypnagogic pop, indie garage rock",44.0,103785.0,album,2015-06-16,0.748,0.625,6,-11.09,1,0.0306,0.135,0.887,0.105,0.814,125.563,4
Part Time,It's Elizabeth,282048,Virgo's Maze,"hypnagogic pop, indie garage rock",44.0,103785.0,album,2015-06-16,0.516,0.626,10,-7.594,1,0.0326,0.00471,0.639,0.318,0.456,123.055,4
Part Time,Pussy of my Dreams,180816,Virgo's Maze,"hypnagogic pop, indie garage rock",44.0,103785.0,album,2015-06-16,0.683,0.592,4,-11.749,1,0.0786,0.0024,0.00436,0.318,0.689,124.973,4
DIIV,Bent (Roi's Song),340366,Is the Is Are,"brooklyn indie, dream pop, dreamo, indie rock, indie surf, modern dream pop, neo-psychedelic, new york shoegaze, nu gaze, shoegaze",52.0,374249.0,album,2016-02-05,0.558,0.855,2,-5.243,1,0.0343,0.00342,0.934,0.175,0.574,130.01,4
Gazebos,Just Get High,288920,Die Alone,,0.0,1151.0,album,2016-02-19,0.337,0.701,9,-6.974,1,0.0306,0.00112,0.0,0.201,0.434,143.066,4
Tacocat,I Love Seattle,156162,Lost Time,"bubblegrunge, indie punk, indie surf, power-pop punk, riot grrrl, seattle indie",30.0,50478.0,album,2016-04-01,0.269,0.941,2,-4.604,1,0.0578,0.000173,1.13e-06,0.161,0.664,88.85,4
Waxahatchee,Under A Rock,128186,Ivy Tripp,"alabama indie, bubblegrunge, chamber pop, countrygaze, indie pop, indie rock",55.0,215398.0,album,2015-04-06,0.326,0.84,2,-4.319,1,0.0592,0.000505,0.0,0.292,0.445,120.361,4
Kopecky,Talk To Me,173826,Drug For The Modern Age,nashville indie,18.0,21890.0,album,2015-05-18,0.738,0.74,0,-6.71,1,0.0303,0.00115,0.0135,0.0968,0.536,130.006,4
Nothing But Thieves,Trip Switch,181146,Nothing But Thieves,"alternative pop rock, modern alternative rock, modern rock",66.0,1178116.0,album,2015-10-09,0.65,0.807,10,-4.157,0,0.0698,0.0197,0.00611,0.094,0.77,88.475,4
My Morning Jacket,Big Decisions,232946,The Waterfall,"chamber pop, indie rock, jam band, louisville indie, melancholia, roots rock, stomp and holler",51.0,547655.0,album,2015-05-01,0.513,0.874,1,-5.828,1,0.0289,0.337,0.00343,0.126,0.586,98.003,4
Wet,It's All in Vain,214266,Don't You,"brooklyn indie, electropop, indie poptimism, nyc pop, shimmer pop",50.0,259884.0,album,2016-01-29,0.703,0.387,0,-9.793,1,0.039,0.598,6.85e-05,0.103,0.298,120.044,4
Wet,Deadwater,217000,Don't You,"brooklyn indie, electropop, indie poptimism, nyc pop, shimmer pop",50.0,259884.0,album,2016-01-29,0.657,0.467,10,-8.849,1,0.0437,0.316,0.00215,0.0891,0.21,135.143,4
Steve Lacy,C U Girl,129697,C U Girl,afrofuturism,79.0,4720535.0,single,2015-02-15,0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,4
BROCKHAMPTON,HOME,302393,ALL-AMERICAN TRASH,"boy band, rap",63.0,2226964.0,album,2016-04-11,0.534,0.36,11,-12.942,0,0.0778,0.296,0.00158,0.382,0.387,153.985,4
BROCKHAMPTON,CONTACTS,91062,ALL-AMERICAN TRASH,"boy band, rap",63.0,2226964.0,album,2016-04-11,0.689,0.268,11,-15.722,1,0.505,0.923,1.69e-06,0.31,0.569,121.202,3
Antwon,Luv,196840,Luv,underground hip hop,30.0,35481.0,single,2016-02-15,0.812,0.573,10,-8.664,0,0.159,0.0138,0.0411,0.104,0.27,150.027,4
Night Lovell,Contraband,227115,Red Teenage Melody,"canadian hip hop, canadian trap, cloud rap, dark trap, ottawa rap",65.0,1407645.0,album,2016-06-14,0.801,0.679,4,-8.733,0,0.0526,0.17,7.22e-06,0.181,0.487,130.017,4
Cigarettes After Sex,Affection,311000,Affection,"ambient pop, dream pop, el paso indie, shoegaze",81.0,11497166.0,single,2015-10-05,0.415,0.425,7,-11.232,1,0.025,0.497,0.908,0.105,0.248,89.839,4
Sports,Strange to Hear,252800,Naked All the Time,tulsa indie,54.0,174710.0,album,2015-07-24,0.537,0.344,9,-14.782,0,0.0322,0.849,0.957,0.118,0.242,176.16,4
Meltycanon,Veldt,151662,soft & wet,lo-fi rap,41.0,49469.0,album,2016-09-01,0.819,0.26,1,-15.696,0,0.0485,0.44,0.56,0.104,0.0588,127.989,4
Meltycanon,Patroklos,180002,soft & wet,lo-fi rap,41.0,49469.0,album,2016-09-01,0.656,0.223,9,-21.003,0,0.0449,0.641,8.04e-05,0.131,0.202,112.918,4
Meltycanon,suncream,121172,old compilation 3,lo-fi rap,41.0,49469.0,album,2016-07-30,0.777,0.456,10,-14.109,1,0.0726,0.0956,0.152,0.487,0.343,115.045,4
Chairlift,Crying in Public,268986,Moth,"brooklyn indie, indietronica, metropopolis, neo-synthpop",42.0,199670.0,album,2016-01-22,0.606,0.592,6,-7.396,0,0.0751,0.259,0.000991,0.136,0.762,174.623,3
Mariah Carey,Infinity,239980,Infinity,"dance pop, pop, urban contemporary",76.0,10071668.0,single,2015-04-27,0.562,0.813,1,-4.247,1,0.0892,0.0523,1.6e-06,0.192,0.209,134.696,4
"Parks, Squares and Alleys",We're Not Just Friends,187820,We're Not Just Friends,"modern dream pop, russian shoegaze",33.0,45544.0,single,2015-09-03,0.655,0.653,4,-7.488,1,0.0278,0.502,0.75,0.0781,0.732,114.995,4
Fazerdaze,Lucky Girl,170996,Morningside,"dreamo, nz indie",38.0,135828.0,album,2017-05-05,0.515,0.884,9,-7.297,1,0.043,0.0331,0.0904,0.312,0.703,173.012,4
Mons Vi,Stay (Bedroom Tape),172068,"Mons Vi Bootlegs, Vol. 1 (B-Sides Compilation)",bedroom pop,33.0,32853.0,album,2016-08-01,0.494,0.247,9,-12.147,0,0.0285,0.612,0.0836,0.226,0.355,120.048,4
Blonde Tongues,Hey Good Lookin',347000,Blonde Tongues,modern dream pop,18.0,23771.0,album,2016-09-07,0.201,0.771,10,-6.914,1,0.0401,0.0087,0.847,0.112,0.0984,155.068,3
How To Dress Well,Lost Youth / Lost You,339090,Care,"art pop, chillwave, metropopolis",30.0,88095.0,album,2016-09-23,0.338,0.725,0,-5.478,1,0.04,0.0779,7.4e-06,0.0808,0.316,83.846,4
Lets Kill Janice,Interference,212661,Interference / Smile & Gesture,,0.0,138.0,single,2016-10-08,0.345,0.576,11,-7.132,1,0.0351,0.237,0.679,0.112,0.422,160.38,4
Floh de Cologne,Kalte Wut / Wenn Ich Einmal Reich Bin,313066,Lucky Streik,krautrock,11.0,4055.0,album,2016-10-14,0.514,0.733,7,-9.443,1,0.123,0.545,0.0,0.143,0.568,97.621,4
Rod McKuen,Love's Been Good To Me,183493,One by One,,21.0,5813.0,album,2016-07-18,0.494,0.15,0,-17.07,1,0.0415,0.781,0.0001,0.23,0.376,118.611,4
Varsity,"So Sad, So Sad",232566,"Cult of Personality - So Sad, So Sad","chicago indie, indie garage rock, indie rock",28.0,63268.0,single,2015-08-25,0.397,0.518,4,-7.156,1,0.0327,0.0748,0.00634,0.133,0.262,113.737,4
Varsity,Cult of Personality,251303,"Cult of Personality - So Sad, So Sad","chicago indie, indie garage rock, indie rock",28.0,63268.0,single,2015-08-25,0.502,0.804,2,-7.505,1,0.0263,0.000165,0.403,0.0772,0.749,135.845,4
Declan McKenna,Brazil,252306,What Do You Think About the Car?,pov: indie,67.0,1006163.0,album,2017-04-13,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4
Declan McKenna,Bethlehem,225960,What Do You Think About the Car?,pov: indie,67.0,1006163.0,album,2017-04-13,0.549,0.755,4,-6.722,1,0.0303,0.00137,0.00573,0.141,0.441,127.0,4
Phony Ppl,Why iii Love The Moon.,331826,Yesterday's Tomorrow,"alternative r&b, indie soul",44.0,281802.0,album,2015-01-13,0.706,0.483,1,-7.929,1,0.0393,0.547,1.94e-06,0.136,0.663,92.002,4
Fog Lake,Push,182749,Dragonchaser,"lo-fi indie, newfoundland indie, slacker rock, small room",54.0,118239.0,album,2017-02-12,0.469,0.648,0,-6.921,1,0.0477,0.203,0.82,0.314,0.248,142.267,4
Vansire,Driftless,202443,Driftless,"bedroom pop, rochester mn indie",66.0,382606.0,single,2017-01-05,0.386,0.477,10,-16.604,1,0.0409,0.924,0.921,0.0882,0.338,143.877,4
Good Good Blood,I'm So Ugly,168045,Heart Land,,2.0,661.0,single,2017-01-09,0.511,0.688,10,-7.268,1,0.033,0.194,0.139,0.111,0.046,120.28,4
Ourselves the Elves,Wounds,137962,Wounds,"pinoy indie, pinoy rock",23.0,43451.0,single,2017-01-01,0.77,0.501,0,-7.412,1,0.0294,0.468,0.879,0.144,0.443,127.032,4
Odina,"You Loved Me, You Killed Me",200906,Broken,ambient folk,19.0,10670.0,single,2016-07-22,0.382,0.138,3,-12.509,1,0.0318,0.944,0.00013,0.101,0.102,104.649,4
Boyscott,Embarrassingly Enough,194529,Goose Bumps,"chill dream pop, indie garage rock",47.0,68873.0,album,2015-11-17,0.471,0.419,6,-8.524,1,0.0326,0.462,0.632,0.115,0.127,125.899,4
Mild High Club,Elegy,171506,Timeline,"indie garage rock, neo-psychedelic",58.0,563841.0,album,2015-09-18,0.675,0.287,4,-11.836,0,0.0335,0.782,0.0409,0.136,0.0946,95.304,4
Nathaniel Rateliff & The Night Sweats,S.O.B.,247612,Nathaniel Rateliff & The Night Sweats,"indie folk, modern blues rock, new americana, stomp and holler",60.0,637563.0,album,2015-01-01,0.699,0.579,1,-6.504,1,0.0416,0.267,0.00602,0.452,0.128,109.948,4
Tame Impala,The Less I Know The Better,216318,Currents,"australian psych, modern rock, neo-psychedelic, rock",79.0,7855680.0,album,2015-07-17,0.64,0.755,1,-4.077,0,0.0287,0.0138,0.0208,0.12,0.744,116.883,4
Fink,Hard To See You Happy,271781,"Fink’s Sunday Night Blues Club, Vol. 1",indie folk,55.0,343612.0,album,2017-03-10,0.717,0.36,9,-11.079,0,0.0287,0.558,0.591,0.307,0.528,113.354,3
James Vincent McMorrow,One Thousand Times,199586,We Move,"chamber pop, indie folk, irish singer-songwriter, stomp and holler",55.0,591419.0,album,2016-01-01,0.661,0.379,0,-11.227,1,0.0638,0.125,0.0013,0.171,0.463,95.01,4
VÉRITÉ,Somebody Else,233076,Somebody Else,"alt z, brooklyn indie, dark pop, electropop, indie poptimism, metropopolis, nyc pop, vapor pop",42.0,310045.0,single,2016-09-09,0.674,0.593,11,-6.47,0,0.0582,0.201,0.000529,0.209,0.464,116.995,4
dvsn,Hallucinations,246293,SEPT 5TH,"canadian contemporary r&b, r&b",54.0,1243988.0,album,2016-03-27,0.765,0.398,7,-8.993,0,0.037,0.0681,8.48e-06,0.14,0.348,95.976,4
Starley,Call On Me - Ryan Riback Extended Remix,222040,Call On Me,aussietronica,53.0,204566.0,single,2016-10-14,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,4
Kiiara,Feels,182500,Feels,"alt z, electropop",57.0,921827.0,single,2016-01-15,0.651,0.377,1,-10.404,0,0.0811,0.427,3.68e-05,0.0936,0.401,123.999,4
Tash Sultana,Jungle,315602,Notion,australian reggae fusion,60.0,1677067.0,album,2017-03-01,0.592,0.697,1,-5.879,0,0.0291,0.27,9.08e-05,0.0879,0.499,146.002,4
Thomston,Window Seat,207186,Topograph,etherpop,32.0,87634.0,album,2016-09-30,0.729,0.438,9,-9.116,0,0.097,0.676,0.000121,0.222,0.596,106.142,4
Kiiara,Tennessee,260625,low kii savage,"alt z, electropop",57.0,921827.0,single,2016-03-22,0.447,0.537,1,-8.574,1,0.0544,0.348,0.0,0.0667,0.362,123.573,4
Oh Wonder,Livewire,203585,Oh Wonder,"electropop, indie poptimism, pov: indie",65.0,1067881.0,album,2015-09-04,0.625,0.434,10,-8.764,1,0.0391,0.566,0.0202,0.119,0.166,116.8,4
Banks,Crowded Places,262259,Crowded Places,"art pop, electropop, indie poptimism, indietronica, shimmer pop",55.0,1055948.0,single,2017-04-07,0.55,0.348,0,-10.682,1,0.047,0.78,0.0,0.0999,0.15,65.973,4
Flume,Hyperreal,254062,Hyperreal,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica",70.0,2443866.0,single,2017-05-05,0.677,0.842,11,-5.204,0,0.294,0.0345,0.0742,0.153,0.543,110.036,4
Niia,California,212506,I,,44.0,48855.0,album,2017-05-05,0.751,0.456,2,-9.014,0,0.042,0.516,0.0177,0.106,0.425,124.994,4
